,item_name,id,cuisine,type,sub_type
112,chicken noodles,6651,1,1,0
229,egg triple schezwan fried rice,9176,1,1,0
834,chicken schezwan lollipop,6018,1,1,0
837,chicken lollypop,14139,1,1,0
869,pudina tandoori momos (non-veg),4689,1,1,0
1270,chicken combination schezwan,18195,1,1,0
1288,shanghai chicken noodles,6787,1,1,0
1373,fried egg fried rice,6667,1,1,0
1861,schezwan chicken noodles,5016,1,1,0
2020,egg hakka noodles,9174,1,1,0
2057,chilli garlic chicken noodles,4104,1,1,0
2090,hakka noodles chicken,11774,1,1,0
2143,butter chicken/egg fried rice/drink 200 ml,5825,1,1,0
2261,chicken steamed momo (4 pieces),9167,1,1,0
2312,chicken triple schezwan fried rice,28635,1,1,0
2396,hakka noodles - chicken half,13307,1,1,0
2665,egg fried rice,12097,1,1,0
2948,schezwan chicken (dry),25957,1,1,0
2974,phad thai noodles prawns,23402,1,1,0
2982,burnt chilli egg fried rice,4515,1,1,0
2998,fish manchurian,6349,1,1,0
3195,chicken schezwan shawarma,28014,1,1,0
3200,chicken shanghai noodles,9616,1,1,0
3252,chicken lollipop,6263,1,1,0
3330,steamed - chicken & prawn momo,10735,1,1,0
3352,malaysian chicken noodles,10594,1,1,0
3396,chicken schezwan rice,5066,1,1,0
3700,chicken chilly and chicken fried rice or noodles,9565,1,1,0
3760,chicken manchurian noodles,18448,1,1,0
3810,singapore style fried rice non veg,6038,1,1,0
3834,egg chilli garlic noodles,6225,1,1,0
3947,chicken hakka noodles,4415,1,1,0
4080,chicken garlic noodles,17885,1,1,0
4531,egg schezwan noodles,22774,1,1,0
4697,chicken momo 5 pcs,9232,1,1,0
4741,schezwan fish,10705,1,1,0
4837,schezwan rice egg,5890,1,1,0
4987,chicken lollipop,5873,1,1,0
5024,chicken lollipop,4371,1,1,0
5109,chicken schezwan chilly,9610,1,1,0
5240,egg noodles,3500,1,1,0
6013,chicken cheesey schezwan maggi,9284,1,1,0
6186,chicken fried momos,9575,1,1,0
6254,chicken hong kong noodle,9585,1,1,0
6404,chicken pan fried momos n,28637,1,1,0
6740,schezwan gravy momos (non-veg),4896,1,1,0
6808,fish fried rice,10875,1,1,0
7146,chicken schezwan,10469,1,1,0
7252,egg mushrom noodles,25896,1,1,0
7278,malaysian chicken fried rice,10593,1,1,0
7454,chicken schezwan with cheese maggi,3732,1,1,0
7729,egg fried rice,16518,1,1,0
7753,chicken mushroom noodles,18109,1,1,0
7892,chicken kukure momo,12441,1,1,0
8003,chicken fried momos,5289,1,1,0
8005,triple schezwan prawns fried  rice,9208,1,1,0
8562,burnt chilli prawns fried rice,9158,1,1,0
8662,schezwan mixed non veg fried rice,10710,1,1,0
8703,chilly gravy momos (non-veg),6110,1,1,0
8704,chicken mew green noodles,10460,1,1,0
8818,egg manchurian rice,23480,1,1,0
8876,chicken fried rice n,28923,1,1,0
8904,chicken momo,9166,1,1,0
8944,egg garlic noodles,22844,1,1,0
8999,mixed non veg noodles,6595,1,1,0
9006,pan tossed chicken and prawn momos,6813,1,1,0
9019,schezwan mixed non veg noodles,10711,1,1,0
9034,fried rice-prawns,15235,1,1,0
9105,schezwan tandoori chicken,24931,1,1,0
9300,egg hakka noodles,9668,1,1,0
9576,egg burnt garlic fried rice,9172,1,1,0
9618,3 pcs chicken lollipop/egg fried rice/schezwan sauce/drink 200 ml,5982,1,1,0
9639,egg fried rice,4311,1,1,0
9688,egg singaporean noodles,9175,1,1,0
9737,korean chicken fried rice,10585,1,1,0
9865,chicken lemon garlic noodle,9589,1,1,0
9920,steamed - chicken momo,10736,1,1,0
9962,tandoori chicken momos,4659,1,1,0
10019,chicken schezwan/egg singapore rice/drink 200 ml,5759,1,1,0
10055,fish noodles,10541,1,1,0
10189,burnt garlic fried rice egg,9281,1,1,0
10344,chicken fried rice,16072,1,1,0
